Section,TC_ID,Page_Name,Category,Sub_Category,Sub_Sub_Category,Test_Objective,Precondition,Test_Data,Steps,Expected_Result,Specs,Priority,Testcase_Type,Test_Result,Executed_Date,Tester,Note
ACCESSING,TC_IOS_HOME_ACC_001,[iOS] Home,Check access permission,Authenticated user,Logged-in user accesses Home,Verify authenticated user can access Home screen,User is logged in with valid credentials,Valid auth session,"1. Log in with valid credentials
2. Observe post-login destination",Home screen displayed successfully,Yes,High,Access control and security,,,,
ACCESSING,TC_IOS_HOME_ACC_002,[iOS] Home,Check access permission,Unauthenticated user,Not logged-in user accesses Home,Verify unauthenticated user cannot access Home screen,User is not logged in,No auth session,"1. Launch app without logging in
2. Attempt to access Home screen",Redirected to Login screen,Yes,High,Access control and security,,,,
ACCESSING,TC_IOS_HOME_ACC_003,[iOS] Home,Check access permission,API 401 error,Award/notification API returns 401,Verify 401 API response redirects to Login,User is on Home screen; session expired mid-session,Auth session expired (401),"1. Log in and navigate to Home
2. Simulate API returning 401 (expire session)
3. Observe navigation",Redirected to Login screen,Yes,High,Access control and security,,,,
ACCESSING,TC_IOS_HOME_ACC_004,[iOS] Home,Check access permission,API 403 error,Award/notification API returns 403,Verify 403 API response redirects to Access Denied,User is on Home screen; account lacks permissions,"Auth session valid; account restricted (403)","1. Log in and navigate to Home
2. Simulate API returning 403
3. Observe navigation",Redirected to Access Denied screen,Yes,High,Access control and security,,,,
ACCESSING,TC_IOS_HOME_ACC_005,[iOS] Home,Check navigation path,From Login screen,After successful login,Verify Home screen is destination after successful login,User on Login screen with valid credentials,Valid username and password,"1. Open app; observe Login screen
2. Enter valid credentials
3. Tap Login button
4. Observe navigation destination","Home screen displayed; Login screen removed from back stack",Yes,High,Access control and security,,,,
ACCESSING,TC_IOS_HOME_ACC_006,[iOS] Home,Check navigation path,From Bottom NavBar,From another main screen via SAA 2025 tab,Verify user can return to Home via SAA 2025 NavBar tab,User is authenticated; currently on Awards or Kudos or Profile screen,Active session,"1. Log in and navigate to another main screen (e.g. Awards)
2. Tap SAA 2025 tab in bottom nav bar
3. Observe navigation","Home screen displayed; SAA 2025 tab highlighted",Yes,Medium,Access control and security,,,,
GUI,TC_IOS_HOME_GUI_001,[iOS] Home,Check layout,Screen-wide layout,Overall structure,"Verify screen-wide layout: key sections, fixed elements, and sub-element presence","User is logged in; awards API returns data; Kudos feature enabled; unread notifications > 0","Valid auth session; award data available","1. Log in and land on Home screen
2. Observe overall layout
3. Scroll through content area
4. Observe fixed elements (header + FAB + nav bar)","Header fixed at top (logo + language switcher + search icon + bell icon with badge dot); Hero section visible: ROOT FURTHER logo + countdown units (DAYS/HOURS/MINUTES) + event date/venue/livestream text + ABOUT AWARD button + ABOUT KUDOS button; Theme description paragraph visible; Awards section visible: section header + horizontally scrollable card list with thumbnail + award name + truncated description + Chi tiết link per card; Kudos section visible: header + banner image + ĐIỂM MỚI CỦA SAA 2025 badge + description + Chi tiết button; FAB pill fixed bottom-right: pencil icon + / + S/Kudos icon; Bottom NavBar fixed: SAA 2025 (active/gold) + Awards + Kudos + Profile",Yes,High,User interface,,,,
GUI,TC_IOS_HOME_GUI_002,[iOS] Home,Check layout,Awards section,Loading state,Verify Awards section displays loading state while API is in progress,"User is logged in; awards API response is delayed",API loading,"1. Log in
2. Observe Awards section before API completes",Awards section shows loading indicator,Yes,Medium,User interface,,,,
GUI,TC_IOS_HOME_GUI_003,[iOS] Home,Check layout,Awards section,Empty state,Verify Awards section displays empty state when API returns no data,"User is logged in; awards API returns empty list",API returns [],"1. Log in with awards API returning no data
2. Scroll to Awards section
3. Observe display","Awards empty state UI displayed; no card items shown",Yes,Medium,User interface,,,,
GUI,TC_IOS_HOME_GUI_004,[iOS] Home,Check layout,Awards section,Error state,Verify Awards section displays error state when API call fails,"User is logged in; awards API returns error",API returns error,"1. Log in with awards API failing
2. Scroll to Awards section
3. Observe display","Awards error state UI displayed; Retry button visible",Yes,Medium,User interface,,,,
